Sym	Name	UniProt	Description	GeneID	STRING ID	TDL	DTO_Lvl3	DTO_Lvl4	DTO_Lvl5	DTO_Lvl6	mouse_symbol	support	support_count	confidence	Subcell_Location
GRK6	GRK6_HUMAN	P43250	G protein-coupled receptor kinase 6	2870	ENSP00000433511	Tchem	protein kinase	AGC group	GRK family	GRK subfamily	Grk6	Inparanoid,HomoloGene,HGNC,PhylomeDB,OrthoMCL,Ensembl,Treefam,NCBI,OMA,Panther,OrthoDB	11	good	Mitochondria
GRK7	GRK7_HUMAN	Q8WTQ7	Rhodopsin kinase	131890	ENSP00000264952	Tchem	protein kinase	AGC group	GRK family	GRK subfamily					Plasma membrane
GSK3A	GSK3A_HUMAN	P49840	Glycogen synthase kinase-3 alpha	2931	ENSP00000222330	Tclin	protein kinase	CMGC group	GSK family	GSK subfamily	Gsk3a	Inparanoid,HomoloGene,HGNC,PhylomeDB,OrthoMCL,Ensembl,Treefam,EggNOG,NCBI,OMA,Panther,OrthoDB	12	good	Cytosol
GSK3B	GSK3B_HUMAN	P49841	Glycogen synthase kinase-3 beta	2932	ENSP00000324806	Tclin	protein kinase	CMGC group	GSK family	GSK subfamily	Gsk3b	Inparanoid,HomoloGene,HGNC,PhylomeDB,OrthoMCL,Ensembl,Treefam,EggNOG,NCBI,OMA,Panther,OrthoDB	12	good	Nucleus
GUCY2C	GUC2C_HUMAN	P25092	Heat-stable enterotoxin receptor	2984	ENSP00000261170	Tclin	protein kinase	RGC group	RGC family		Gucy2c	Inparanoid,HomoloGene,HGNC,PhylomeDB,OrthoMCL,Ensembl,EggNOG,NCBI,OMA,Panther,OrthoDB	11	good	Vesicles| Plasma membrane
GUCY2D	GUC2D_HUMAN	Q02846	Retinal guanylyl cyclase 1	3000	ENSP00000254854	Tbio	protein kinase	RGC group	RGC family		Gucy2e	Inparanoid,HomoloGene,HGNC,OrthoMCL,Ensembl,Treefam,EggNOG,NCBI,OMA,Panther,OrthoDB	11	good	Cytosol| Nuclear membrane| Nucleus| Plasma membrane
GUCY2F	GUC2F_HUMAN	P51841	Retinal guanylyl cyclase 2	2986	ENSP00000218006	Tbio	protein kinase	RGC group	RGC family		Gucy2f	Inparanoid,HomoloGene,HGNC,PhylomeDB,OrthoMCL,Ensembl,Treefam,NCBI,OMA,Panther,OrthoDB	11	good	Cytosol| Nuclear membrane| Nucleus| Plasma membrane
HASPIN	HASP_HUMAN	Q8TF76	Serine/threonine-protein kinase haspin	83903	ENSP00000325290	Tchem	protein kinase	other group	HASPIN family		Haspin	HomoloGene,HGNC,OrthoMCL,Ensembl,Treefam,EggNOG,NCBI,OMA,Panther	9	good	Nucleus
HCK	HCK_HUMAN	P08631	Tyrosine-protein kinase HCK	3055	ENSP00000444986	Tclin	protein kinase	TK group	SRC family		Hck	Inparanoid,HomoloGene,HGNC,PhylomeDB,OrthoMCL,Ensembl,Treefam,EggNOG,NCBI,OMA,Panther,OrthoDB	12	good	Plasma membrane| Nucleoplasm
HIPK1	HIPK1_HUMAN	Q86Z02	Homeodomain-interacting protein kinase 1	204851	ENSP00000358571	Tchem	protein kinase	CMGC group	DYRK family	HIPK subfamily	Hipk1	Inparanoid,HomoloGene,HGNC,PhylomeDB,OrthoMCL,Ensembl,EggNOG,NCBI,OMA,Panther,OrthoDB	11	good	Nucleoplasm| Centrosome| Cytosol
HIPK2	HIPK2_HUMAN	Q9H2X6	Homeodomain-interacting protein kinase 2	28996	ENSP00000385571	Tchem	protein kinase	CMGC group	DYRK family	HIPK subfamily	Hipk2	Inparanoid,HomoloGene,HGNC,PhylomeDB,Ensembl,Treefam,EggNOG,NCBI,OMA,Panther,OrthoDB	11	good	Nucleus
HIPK3	HIPK3_HUMAN	Q9H422	Homeodomain-interacting protein kinase 3	10114	ENSP00000304226	Tchem	protein kinase	CMGC group	DYRK family	HIPK subfamily	Hipk3	Inparanoid,HomoloGene,HGNC,PhylomeDB,OrthoMCL,Ensembl,Treefam,EggNOG,NCBI,OMA,Panther,OrthoDB	12	good	Cytosol| Nuclear bodies
HIPK4	HIPK4_HUMAN	Q8NE63	Homeodomain-interacting protein kinase 4	147746	ENSP00000291823	Tchem	protein kinase	CMGC group	DYRK family	HIPK subfamily	Hipk4	Inparanoid,HomoloGene,HGNC,PhylomeDB,OrthoMCL,Ensembl,Treefam,EggNOG,NCBI,OMA,Panther,OrthoDB	12	good	Nucleus
HUNK	HUNK_HUMAN	P57058	Hormonally up-regulated neu tumor-associated kinase	30811	ENSP00000270112	Tchem	protein kinase	CAMK group	CAMKL family	HUNK subfamily	Hunk	Inparanoid,HomoloGene,HGNC,PhylomeDB,OrthoMCL,Ensembl,Treefam,EggNOG,NCBI,OMA,Panther,OrthoDB	12	good	Nucleoplasm| Plasma membrane
ICK	ICK_HUMAN	Q9UPZ9	Serine/threonine-protein kinase ICK	22858	ENSP00000349458	Tchem	protein kinase	CMGC group	RCK family		Ick	Inparanoid,HomoloGene,HGNC,PhylomeDB,OrthoMCL,Ensembl,Treefam,EggNOG,NCBI,OMA,Panther,OrthoDB	12	good	Cytoskeleton| Cytosol| Microtubule organizing center| Microtubules| Nucleus
IGF1R	IGF1R_HUMAN	P08069	Insulin-like growth factor 1 receptor	3480	ENSP00000268035	Tclin	protein kinase	TK group	INSR family		Igf1r	Inparanoid,HomoloGene,HGNC,OrthoMCL,Ensembl,Treefam,EggNOG,NCBI,OMA,Panther,OrthoDB	11	good	Vesicles| Plasma membrane
IKBKB	IKKB_HUMAN	O14920	Inhibitor of nuclear factor kappa-B kinase subunit beta	3551	ENSP00000430684	Tchem	protein kinase	other group	IKK family		Ikbkb	Inparanoid,HomoloGene,HGNC,OrthoMCL,Ensembl,Treefam,EggNOG,NCBI,Panther,OrthoDB	10	good	Cytosol
IKBKE	IKKE_HUMAN	Q14164	Inhibitor of nuclear factor kappa-B kinase subunit epsilon	9641	ENSP00000464030	Tchem	protein kinase	other group	IKK family		Ikbke	Inparanoid,HomoloGene,HGNC,Ensembl,NCBI,OMA,Panther,OrthoDB	8	moderate	Cytosol
IKBKG	NEMO_HUMAN	Q9Y6K9	NF-kappa-B essential modulator	8517	ENSP00000483825	Tbio	protein kinase				Ikbkg	Inparanoid,HomoloGene,HGNC,PhylomeDB,Ensembl,NCBI,OMA,Panther	8	moderate	Cytosol
ILK	ILK_HUMAN	Q13418	Integrin-linked protein kinase	3611	ENSP00000379975	Tchem	protein kinase	TKL group	MLK family	ILK subfamily	Ilk	Inparanoid,HomoloGene,HGNC,PhylomeDB,OrthoMCL,Ensembl,Treefam,EggNOG,NCBI,OMA,Panther,OrthoDB	12	good	Focal Adhesions| Cell Junctions
INSR	INSR_HUMAN	P06213	Insulin receptor	3643	ENSP00000303830	Tclin	protein kinase	TK group	INSR family		Insr	Inparanoid,HomoloGene,HGNC,OrthoMCL,Ensembl,Treefam,NCBI,OMA,Panther,OrthoDB	10	good	Vesicles| Plasma membrane
INSRR	INSRR_HUMAN	P14616	Insulin receptor-related protein	3645	ENSP00000357178	Tchem	protein kinase	TK group	INSR family		Insrr	Inparanoid,HomoloGene,HGNC,OrthoMCL,Ensembl,Treefam,EggNOG,NCBI,OMA,Panther,OrthoDB	11	good	Plasma membrane
IRAK1	IRAK1_HUMAN	P51617	Interleukin-1 receptor-associated kinase 1	3654	ENSP00000358997	Tchem	protein kinase	TKL group	IRAK family		Irak1	Inparanoid,HomoloGene,HGNC,OrthoMCL,Ensembl,Treefam,NCBI,Panther,OrthoDB	9	good	Cytosol| Nucleus
IRAK2	IRAK2_HUMAN	O43187	Interleukin-1 receptor-associated kinase-like 2	3656	ENSP00000256458	Tbio	protein kinase	TKL group	IRAK family		Irak2	Inparanoid,HomoloGene,HGNC,PhylomeDB,OrthoMCL,Ensembl,Treefam,EggNOG,NCBI,OMA,Panther,OrthoDB	12	good	Vesicles
IRAK3	IRAK3_HUMAN	Q9Y616	Interleukin-1 receptor-associated kinase 3	11213	ENSP00000261233	Tchem	protein kinase	TKL group	IRAK family		Irak3	Inparanoid,HomoloGene,HGNC,PhylomeDB,OrthoMCL,Ensembl,Treefam,EggNOG,NCBI,OMA,Panther,OrthoDB	12	good	Vesicles
IRAK4	IRAK4_HUMAN	Q9NWZ3	Interleukin-1 receptor-associated kinase 4	51135	ENSP00000390651	Tchem	protein kinase	TKL group	IRAK family		Irak4	Inparanoid,HomoloGene,HGNC,PhylomeDB,OrthoMCL,Ensembl,Treefam,EggNOG,NCBI,OMA,Panther,OrthoDB	12	good	Microtubules| Nucleoli| Cytosol
ITK	ITK_HUMAN	Q08881	Tyrosine-protein kinase ITK/TSK	3702	ENSP00000398655	Tclin	protein kinase	TK group	TEC family		Itk	Inparanoid,HomoloGene,HGNC,PhylomeDB,OrthoMCL,Ensembl,Treefam,EggNOG,NCBI,OMA,Panther,OrthoDB	12	good	Cell Junctions| Cytosol| Plasma membrane
JAK1	JAK1_HUMAN	P23458	Tyrosine-protein kinase JAK1	3716	ENSP00000343204	Tclin	protein kinase	TK group	JAKA family		Jak1	Inparanoid,HomoloGene,HGNC,OrthoMCL,Ensembl,Treefam,EggNOG,NCBI,OMA,Panther,OrthoDB	11	good	Cell Junctions| Cytoskeleton| Cytosol| Nucleus| Plasma membrane
JAK2	JAK2_HUMAN	O60674	Tyrosine-protein kinase JAK2	3717	ENSP00000371067	Tclin	protein kinase	TK group	JAKA family		Jak2	Inparanoid,HomoloGene,HGNC,OrthoMCL,Ensembl,EggNOG,NCBI,OMA,Panther,OrthoDB	10	good	Nucleoplasm| Focal Adhesions| Plasma membrane
JAK3	JAK3_HUMAN	P52333	Tyrosine-protein kinase JAK3	3718	ENSP00000391676	Tclin	protein kinase	TK group	JAKA family		Jak3	Inparanoid,HomoloGene,HGNC,Ensembl,Treefam,EggNOG,NCBI,OMA,Panther,OrthoDB	10	good	Cytosol
KALRN	KALRN_HUMAN	O60229	Kalirin	8997	ENSP00000240874	Tbio	protein kinase	CAMK group	TRIO family		Kalrn	Inparanoid,HomoloGene,HGNC,PhylomeDB,Ensembl,Treefam,NCBI,OMA,Panther,OrthoDB	10	good	Nucleoplasm| Cytosol
KDR	VGFR2_HUMAN	P35968	Vascular endothelial growth factor receptor 2	3791	ENSP00000263923	Tclin	protein kinase	TK group	VEGFR family		Kdr	Inparanoid,HomoloGene,HGNC,Ensembl,Treefam,EggNOG,NCBI,OMA,Panther,OrthoDB	10	good	Plasma membrane
KIT	KIT_HUMAN	P10721	Mast/stem cell growth factor receptor Kit	3815	ENSP00000288135	Tclin	protein kinase	TK group	PDGFR family		Kit	Inparanoid,HomoloGene,HGNC,OrthoMCL,Ensembl,Treefam,EggNOG,NCBI,OMA,Panther,OrthoDB	11	good	Plasma membrane
KSR1	KSR1_HUMAN	Q8IVT5	Kinase suppressor of Ras 1	8844	ENSP00000381958	Tbio	protein kinase	TKL group	RAF family		Ksr1	Inparanoid,HomoloGene,HGNC,OrthoMCL,Ensembl,NCBI,OMA,Panther,OrthoDB	9	good	Cytosol| ER membrane| Nuclear membrane| Plasma membrane
KSR2	KSR2_HUMAN	Q6VAB6	Kinase suppressor of Ras 2	283455	ENSP00000389715	Tbio	protein kinase	TKL group	RAF family		Ksr2	Inparanoid,HomoloGene,HGNC,Ensembl,EggNOG,NCBI,OMA,Panther,OrthoDB	9	good	Cytosol| Plasma membrane
LATS1	LATS1_HUMAN	O95835	Serine/threonine-protein kinase LATS1	9113	ENSP00000437550	Tchem	protein kinase	AGC group	NDR family		Lats1	Inparanoid,HomoloGene,HGNC,OrthoMCL,Ensembl,Treefam,EggNOG,NCBI,OMA,Panther,OrthoDB	11	good	Nucleoplasm| Vesicles
LATS2	LATS2_HUMAN	Q9NRM7	Serine/threonine-protein kinase LATS2	26524	ENSP00000372035	Tchem	protein kinase	AGC group	NDR family		Lats2	Inparanoid,HomoloGene,HGNC,PhylomeDB,OrthoMCL,Ensembl,Treefam,EggNOG,NCBI,OMA,Panther,OrthoDB	12	good	Microtubule organizing center| Cytosol
LCK	LCK_HUMAN	P06239	Tyrosine-protein kinase Lck	3932	ENSP00000337825	Tclin	protein kinase	TK group	SRC family		Lck	Inparanoid,HomoloGene,HGNC,PhylomeDB,OrthoMCL,Ensembl,Treefam,EggNOG,NCBI,OMA,Panther,OrthoDB	12	good	Golgi apparatus
LIMK1	LIMK1_HUMAN	P53667	LIM domain kinase 1	3984	ENSP00000336740	Tchem	protein kinase	TKL group	LISK family	LIMK subfamily	Limk1	Inparanoid,HomoloGene,HGNC,PhylomeDB,OrthoMCL,Ensembl,EggNOG,NCBI,OMA,Panther,OrthoDB	11	good	Nuclear speckles| Cytosol
LIMK2	LIMK2_HUMAN	P53671	LIM domain kinase 2	3985	ENSP00000339916	Tchem	protein kinase	TKL group	LISK family	LIMK subfamily	Limk2	Inparanoid,HomoloGene,HGNC,PhylomeDB,Ensembl,Treefam,EggNOG,NCBI,OMA,Panther,OrthoDB	11	good	Nucleoplasm| Cytosol
LMTK2	LMTK2_HUMAN	Q8IWU2	Serine/threonine-protein kinase LMTK2	22853	ENSP00000297293	Tbio	protein kinase	TK group	LMR family		Lmtk2	Inparanoid,HomoloGene,HGNC,OrthoMCL,Ensembl,Treefam,EggNOG,NCBI,OMA,Panther,OrthoDB	11	good	Nuclear speckles| Microtubule organizing center| Cytosol| Plasma membrane| Golgi apparatus
LMTK3	LMTK3_HUMAN	Q96Q04	Serine/threonine-protein kinase LMTK3	114783	ENSP00000270238	Tbio	protein kinase	TK group	LMR family		Lmtk3	Inparanoid,HomoloGene,HGNC,Ensembl,Treefam,EggNOG,NCBI,OMA,Panther,OrthoDB	10	good	Nucleoplasm| Cell Junctions
LRRK1	LRRK1_HUMAN	Q38SD2	Leucine-rich repeat serine/threonine-protein kinase 1	79705	ENSP00000373600	Tbio	protein kinase	TKL group	LRRK family		Lrrk1	Inparanoid,HomoloGene,HGNC,PhylomeDB,OrthoMCL,Ensembl,Treefam,EggNOG,NCBI,OrthoDB	10	good	Cytosol| Mitochondria
LRRK2	LRRK2_HUMAN	Q5S007	Leucine-rich repeat serine/threonine-protein kinase 2	120892	ENSP00000298910	Tchem	protein kinase	TKL group	LRRK family		Lrrk2	Inparanoid,HomoloGene,HGNC,OrthoMCL,Ensembl,Treefam,EggNOG,NCBI,OMA,Panther,OrthoDB	11	good	Nucleus| Vesicles
LTK	LTK_HUMAN	P29376	Leukocyte tyrosine kinase receptor	4058	ENSP00000263800	Tclin	protein kinase	TK group	ALK family		Ltk	Inparanoid,HomoloGene,HGNC,OrthoMCL,Ensembl,Treefam,EggNOG,NCBI,Panther,OrthoDB	10	good	Vesicles| Plasma membrane
LYN	LYN_HUMAN	P07948	Tyrosine-protein kinase Lyn	4067	ENSP00000428924	Tclin	protein kinase	TK group	SRC family		Lyn	Inparanoid,HomoloGene,HGNC,PhylomeDB,Ensembl,Treefam,EggNOG,NCBI,OMA,Panther,OrthoDB	11	good	Golgi apparatus| Plasma membrane| Vesicles
MAK	MAK_HUMAN	P20794	Serine/threonine-protein kinase MAK	4117	ENSP00000346484	Tchem	protein kinase	CMGC group	RCK family		Mak	Inparanoid,HomoloGene,HGNC,OrthoMCL,Ensembl,Treefam,EggNOG,NCBI,Panther,OrthoDB	10	good	Centrosome| Cytoskeleton| Microtubule organizing center| Microtubules| Midbody| Mitotic spindle| Nucleus
MAP2K1	MP2K1_HUMAN	Q02750	Dual specificity mitogen-activated protein kinase kinase 1	5604	ENSP00000302486	Tclin	protein kinase	STE group	STE7 family		Map2k1	Inparanoid,HomoloGene,HGNC,PhylomeDB,OrthoMCL,Ensembl,Treefam,EggNOG,NCBI,OMA,Panther,OrthoDB	12	good	Cytosol| Plasma membrane
MAP2K2	MP2K2_HUMAN	P36507	Dual specificity mitogen-activated protein kinase kinase 2	5605	ENSP00000262948	Tclin	protein kinase	STE group	STE7 family		Map2k2	Inparanoid,HomoloGene,HGNC,Ensembl,Treefam,EggNOG,NCBI,OMA,Panther,OrthoDB	10	good	Cytosol
MAP2K3	MP2K3_HUMAN	P46734	Dual specificity mitogen-activated protein kinase kinase 3	5606	ENSP00000345083	Tchem	protein kinase	STE group	STE7 family		Map2k3	Inparanoid,HomoloGene,HGNC,PhylomeDB,OrthoMCL,Ensembl,Treefam,EggNOG,NCBI,OMA,Panther,OrthoDB	12	good	Nucleoplasm| Cytosol
MAP2K4	MP2K4_HUMAN	P45985	Dual specificity mitogen-activated protein kinase kinase 4	6416	ENSP00000410402	Tchem	protein kinase	STE group	STE7 family		Map2k4	Inparanoid,HomoloGene,HGNC,PhylomeDB,OrthoMCL,Ensembl,Treefam,EggNOG,NCBI,OMA,Panther,OrthoDB	12	good	Nucleoplasm| Cell Junctions
MAP2K5	MP2K5_HUMAN	Q13163	Dual specificity mitogen-activated protein kinase kinase 5	5607	ENSP00000178640	Tchem	protein kinase	STE group	STE7 family		Map2k5	Inparanoid,HomoloGene,HGNC,PhylomeDB,OrthoMCL,Ensembl,Treefam,EggNOG,NCBI,OMA,Panther,OrthoDB	12	good	Nucleoli| Microtubules
MAP2K6	MP2K6_HUMAN	P52564	Dual specificity mitogen-activated protein kinase kinase 6	5608	ENSP00000468348	Tchem	protein kinase	STE group	STE7 family		Map2k6	Inparanoid,HomoloGene,HGNC,PhylomeDB,OrthoMCL,Ensembl,Treefam,EggNOG,NCBI,OMA,Panther,OrthoDB	12	good	Nucleus| Cytosol
MAP2K7	MP2K7_HUMAN	O14733	Dual specificity mitogen-activated protein kinase kinase 7	5609	ENSP00000381070	Tchem	protein kinase	STE group	STE7 family		Map2k7	Inparanoid,HomoloGene,HGNC,Ensembl,Treefam,EggNOG,NCBI,OMA,Panther,OrthoDB	10	good	Cytosol| Plasma membrane| Golgi apparatus
MAP3K1	M3K1_HUMAN	Q13233	Mitogen-activated protein kinase kinase kinase 1	4214	ENSP00000382423	Tchem	protein kinase	STE group	STE11 family		Map3k1	Inparanoid,HomoloGene,HGNC,OrthoMCL,Ensembl,Treefam,EggNOG,NCBI,OMA,Panther,OrthoDB	11	good	Cytosol
MAP3K10	M3K10_HUMAN	Q02779	Mitogen-activated protein kinase kinase kinase 10	4294	ENSP00000253055	Tchem	protein kinase	TKL group	MLK family	MLK subfamily	Map3k10	Inparanoid,HomoloGene,HGNC,OrthoMCL,Ensembl,Treefam,EggNOG,NCBI,Panther,OrthoDB	10	good	Nucleus| actin filamentss| Cytosol
MAP3K11	M3K11_HUMAN	Q16584	Mitogen-activated protein kinase kinase kinase 11	4296	ENSP00000309597	Tchem	protein kinase	TKL group	MLK family	MLK subfamily	Map3k11	Inparanoid,HomoloGene,HGNC,PhylomeDB,OrthoMCL,Ensembl,Treefam,EggNOG,NCBI,OMA,Panther,OrthoDB	12	good	Microtubule organizing center| Cytosol
MAP3K12	M3K12_HUMAN	Q12852	Mitogen-activated protein kinase kinase kinase 12	7786	ENSP00000448689	Tchem	protein kinase	TKL group	MLK family		Map3k12	Inparanoid,HomoloGene,HGNC,PhylomeDB,Ensembl,Treefam,EggNOG,NCBI,OMA,Panther,OrthoDB	11	good	Nucleus| Cell Junctions
MAP3K13	M3K13_HUMAN	O43283	Mitogen-activated protein kinase kinase kinase 13	9175	ENSP00000265026	Tchem	protein kinase	TKL group	MLK family	LZK subfamily	Map3k13	Inparanoid,HomoloGene,HGNC,PhylomeDB,OrthoMCL,Ensembl,Treefam,EggNOG,NCBI,OMA,Panther,OrthoDB	12	good	Microtubule organizing center| Nucleoplasm| Cytosol
MAP3K14	M3K14_HUMAN	Q99558	Mitogen-activated protein kinase kinase kinase 14	9020	ENSP00000482657	Tchem	protein kinase	STE group	STE-UNIQUE family		Map3k14	Inparanoid,HomoloGene,HGNC,PhylomeDB,Ensembl,NCBI,OMA,Panther,OrthoDB	9	good	Vesicles| Cytosol| Nucleus| Nucleoli (Fibrillar center)
MAP3K15	M3K15_HUMAN	Q6ZN16	Mitogen-activated protein kinase kinase kinase 15	389840	ENSP00000345629	Tchem	protein kinase	STE group	STE11 family		Map3k15	Inparanoid,HomoloGene,HGNC,OrthoMCL,Ensembl,Treefam,NCBI,OMA,Panther,OrthoDB	10	good	Vesicles
MAP3K19	M3K19_HUMAN	Q56UN5	Mitogen-activated protein kinase kinase kinase 19	80122	ENSP00000365005	Tchem	protein kinase	STE group	STE11 family		Map3k19	Inparanoid,HomoloGene,HGNC,PhylomeDB,Ensembl,Treefam,EggNOG,NCBI,Panther,OrthoDB	10	good	Cytosol
MAP3K2	M3K2_HUMAN	Q9Y2U5	Mitogen-activated protein kinase kinase kinase 2	10746	ENSP00000387246	Tchem	protein kinase	STE group	STE11 family		Map3k2	Inparanoid,HomoloGene,HGNC,OrthoMCL,Ensembl,Treefam,EggNOG,NCBI,OMA,Panther,OrthoDB	11	good	Nucleoplasm| Cytosol
MAP3K20	M3K20_HUMAN	Q9NYL2	Mitogen-activated protein kinase kinase kinase 20	51776	ENSP00000364361	Tchem	protein kinase	TKL group	MLK family	MLK subfamily	Map3k20	Inparanoid,HomoloGene,HGNC,PhylomeDB,OrthoMCL,Ensembl,Treefam,EggNOG,NCBI,OMA,OrthoDB	11	good	Cytosol
MAP3K21	M3K21_HUMAN	Q5TCX8	Mitogen-activated protein kinase kinase kinase 21	84451	ENSP00000355583	Tbio	protein kinase	TKL group	MLK family		Map3k21	Inparanoid,HomoloGene,HGNC,PhylomeDB,OrthoMCL,Ensembl,Treefam,EggNOG,NCBI,OMA,OrthoDB	11	good	Cytosol| Plasma membrane
MAP3K3	M3K3_HUMAN	Q99759	Mitogen-activated protein kinase kinase kinase 3	4215	ENSP00000354927	Tchem	protein kinase	STE group	STE11 family		Map3k3	Inparanoid,HomoloGene,HGNC,PhylomeDB,OrthoMCL,Ensembl,Treefam,EggNOG,NCBI,OMA,Panther,OrthoDB	12	good	Nucleoplasm
MAP3K4	M3K4_HUMAN	Q9Y6R4	Mitogen-activated protein kinase kinase kinase 4	4216	ENSP00000375986	Tchem	protein kinase	STE group	STE11 family		Map3k4	Inparanoid,HomoloGene,HGNC,OrthoMCL,Ensembl,Treefam,EggNOG,NCBI,OMA,Panther,OrthoDB	11	good	Cytosol
MAP3K5	M3K5_HUMAN	Q99683	Mitogen-activated protein kinase kinase kinase 5	4217	ENSP00000351908	Tchem	protein kinase	STE group	STE11 family		Map3k5	Inparanoid,HomoloGene,HGNC,OrthoMCL,Ensembl,Treefam,EggNOG,NCBI,OMA,Panther,OrthoDB	11	good	Cytosol
MAP3K6	M3K6_HUMAN	O95382	Mitogen-activated protein kinase kinase kinase 6	9064	ENSP00000419591	Tchem	protein kinase	STE group	STE11 family		Map3k6	Inparanoid,HomoloGene,HGNC,OrthoMCL,Ensembl,Treefam,EggNOG,NCBI,OMA,Panther,OrthoDB	11	good	Nucleus| actin filamentss| Cytosol| Plasma membrane
MAP3K7	M3K7_HUMAN	O43318	Mitogen-activated protein kinase kinase kinase 7	6885	ENSP00000358335	Tchem	protein kinase	TKL group	MLK family	TAK1 subfamily	Map3k7	Inparanoid,HGNC,PhylomeDB,OrthoMCL,Ensembl,Treefam,EggNOG,NCBI,OMA,Panther,OrthoDB	11	good	Nuclear speckles| Cytosol
MAP3K8	M3K8_HUMAN	P41279	Mitogen-activated protein kinase kinase kinase 8	1326	ENSP00000263056	Tchem	protein kinase	STE group	STE-UNIQUE family		Map3k8	Inparanoid,HomoloGene,HGNC,PhylomeDB,OrthoMCL,Ensembl,EggNOG,NCBI,OMA,Panther,OrthoDB	11	good	Cytosol
MAP3K9	M3K9_HUMAN	P80192	Mitogen-activated protein kinase kinase kinase 9	4293	ENSP00000451263	Tchem	protein kinase	TKL group	MLK family	MLK subfamily	Map3k9	Inparanoid,HomoloGene,HGNC,Ensembl,Treefam,EggNOG,NCBI,OMA,Panther,OrthoDB	10	good	Nucleus| Nucleoli
MAP4K1	M4K1_HUMAN	Q92918	Mitogen-activated protein kinase kinase kinase kinase 1	11184	ENSP00000465039	Tchem	protein kinase	STE group	STE20 family	KHS subfamily	Map4k1	Inparanoid,HomoloGene,HGNC,PhylomeDB,Ensembl,Treefam,EggNOG,NCBI,OMA,Panther,OrthoDB	11	good	Nucleoplasm| Plasma membrane
MAP4K2	M4K2_HUMAN	Q12851	Mitogen-activated protein kinase kinase kinase kinase 2	5871	ENSP00000294066	Tchem	protein kinase	STE group	STE20 family	KHS subfamily	Map4k2	Inparanoid,HomoloGene,HGNC,PhylomeDB,OrthoMCL,Ensembl,Treefam,EggNOG,NCBI,Panther,OrthoDB	11	good	Vesicles
MAP4K3	M4K3_HUMAN	Q8IVH8	Mitogen-activated protein kinase kinase kinase kinase 3	8491	ENSP00000263881	Tchem	protein kinase	STE group	STE20 family	KHS subfamily	Map4k3	Inparanoid,HomoloGene,HGNC,OrthoMCL,Ensembl,Treefam,EggNOG,NCBI,OMA,Panther,OrthoDB	11	good	Centrosome
MAP4K4	M4K4_HUMAN	O95819	Mitogen-activated protein kinase kinase kinase kinase 4	9448	ENSP00000343658	Tchem	protein kinase	STE group	STE20 family	MSN subfamily	Map4k4	Inparanoid,HomoloGene,HGNC,Ensembl,Treefam,EggNOG,NCBI,Panther,OrthoDB	9	good	Cytosol
MAP4K5	M4K5_HUMAN	Q9Y4K4	Mitogen-activated protein kinase kinase kinase kinase 5	11183	ENSP00000013125	Tchem	protein kinase	STE group	STE20 family	KHS subfamily	Map4k5	Inparanoid,HomoloGene,HGNC,PhylomeDB,Ensembl,Treefam,EggNOG,NCBI,OMA,Panther,OrthoDB	11	good	Plasma membrane| Cytosol
MAPK1	MK01_HUMAN	P28482	Mitogen-activated protein kinase 1	5594	ENSP00000215832	Tchem	protein kinase	CMGC group	MAPK family	ERK subfamily	Mapk1	Inparanoid,HomoloGene,HGNC,PhylomeDB,Ensembl,Treefam,NCBI,OMA,Panther,OrthoDB	10	good	Cell Junctions| Cytoskeleton| Cytosol| Endosome| Golgi apparatus| Lysosome| Microtubule organizing center| Microtubules| Mitochondria| Mitotic spindle| Nucleoplasm| Nucleus| Plasma membrane| Secreted| Vesicles
MAPK10	MK10_HUMAN	P53779	Mitogen-activated protein kinase 10	5602	ENSP00000352157	Tchem	protein kinase	CMGC group	MAPK family	JNK subfamily	Mapk10	Inparanoid,HomoloGene,HGNC,Ensembl,Treefam,NCBI,OMA,Panther,OrthoDB	9	good	Nucleoplasm
MAPK11	MK11_HUMAN	Q15759	Mitogen-activated protein kinase 11	5600	ENSP00000333685	Tchem	protein kinase	CMGC group	MAPK family	p38 subfamily	Mapk11	Inparanoid,HomoloGene,HGNC,OrthoMCL,Ensembl,Treefam,NCBI,OMA,Panther,OrthoDB	10	good	Mitochondria
MAPK12	MK12_HUMAN	P53778	Mitogen-activated protein kinase 12	6300	ENSP00000215659	Tchem	protein kinase	CMGC group	MAPK family	p38 subfamily	Mapk12	Inparanoid,HomoloGene,HGNC,PhylomeDB,OrthoMCL,Ensembl,Treefam,EggNOG,NCBI,OMA,Panther,OrthoDB	12	good	Nuclear speckles| Cytosol
MAPK13	MK13_HUMAN	O15264	Mitogen-activated protein kinase 13	5603	ENSP00000211287	Tchem	protein kinase	CMGC group	MAPK family	p38 subfamily	Mapk13	Inparanoid,HomoloGene,HGNC,PhylomeDB,OrthoMCL,Ensembl,Treefam,EggNOG,NCBI,OMA,Panther,OrthoDB	12	good	Nucleus| Nucleoli| Cytosol
MAPK14	MK14_HUMAN	Q16539	Mitogen-activated protein kinase 14	1432	ENSP00000229795	Tchem	protein kinase	CMGC group	MAPK family	p38 subfamily	Mapk14	Inparanoid,HomoloGene,HGNC,PhylomeDB,OrthoMCL,Ensembl,Treefam,NCBI,OMA,Panther,OrthoDB	11	good	Nuclear speckles
